Record ID,First Name,Last Name,Email,Phone Number,Contact owner,Last Activity Date,Lead Status,Marketing contact status,Create Date,Mobile Phone Number
3.05501E+11,,,michelledoze@sfr.fr,,,,,Marketing contact,22/05/2025 19:22,
3.05464E+11,Siham,Meliani,rjcom.bouazza@gmail.com,,,,,Non-marketing contact,22/05/2025 17:39,
3.05452E+11,Chm pizza,,,33766005471,Youssef Ak-kad,22/05/2025 18:00,,Non-marketing contact,22/05/2025 17:15,
3.05346E+11,faouzi chat,,,33610140420,Youssef Ak-kad,22/05/2025 17:04,,Non-marketing contact,22/05/2025 17:04,
3.05276E+11,Safat,CIMENDAG,restaurant.saf-et@gmail.com,33689028865,Aymane Benani,22/05/2025 16:41,,Non-marketing contact,22/05/2025 16:31,
3.05318E+11,,New RingOver Contact,,33783923766,Aymane Benani,22/05/2025 15:50,,Non-marketing contact,22/05/2025 15:50,
3.05252E+11,,New RingOver Contact,,33783923766,Aymane Benani,22/05/2025 15:52,,Non-marketing contact,22/05/2025 15:50,
3.05309E+11,abdeslam,amagour,lagerbdeblecharleville1@gmail.com,,,,,Non-marketing contact,22/05/2025 15:01,652449871
3.0524E+11,Wassim,Rmiche,wassimrmiche95100@gmail.com,610801538,,,,Marketing contact,22/05/2025 14:45,610801538
3.05093E+11,,Bouti ,,33651449669,Aymane Benani,22/05/2025 13:59,,Non-marketing contact,22/05/2025 14:00,
3.05201E+11,,New RingOver Contact,,33634537518,Ali KAMAL,22/05/2025 15:53,,Non-marketing contact,22/05/2025 13:27,
3.0505E+11,Ilan,Guillaume,ilan.70@hotmail.fr,642517764,,,,Marketing contact,22/05/2025 12:54,
3.04987E+11,,New RingOver Contact,,33617561708,Ali KAMAL,22/05/2025 13:28,,Non-marketing contact,22/05/2025 12:52,
3.05044E+11,,,sk.krief@gmail.com,,,,,Marketing contact,22/05/2025 12:37,
3.05192E+11,,,alidebara6@gmail.com,,,,,Marketing contact,22/05/2025 12:36,
3.05011E+11,Aymen,Badis,aymen.badis@gmail.com,,,,,Non-marketing contact,22/05/2025 11:33,
3.04923E+11,,New RingOver Contact,,33759561757,Aymane Benani,22/05/2025 10:45,,Non-marketing contact,22/05/2025 10:44,
3.04845E+11,sushishop ,,,33770151378,Youssef Ak-kad,22/05/2025 10:02,,Non-marketing contact,22/05/2025 10:03,
3.04915E+11,gwatelo,fda,,33678546010,Aymane Benani,22/05/2025 12:45,,Non-marketing contact,22/05/2025 09:56,
2.30427E+11,Johnny,jans,djo.food14@gmail.com,777600425,,,,Marketing contact,22/05/2025 09:35,777600425
3.04364E+11,Redha,Zebboudji,zebboudjiredha437@gmail.com, +33 7 49 01 25 92,,,,Marketing contact,21/05/2025 23:48, +33 7 49 01 25 92
3.04357E+11,jonathan,collier,cuisinesetamenagements.jcollier@gmail.com,648271896,,,,Marketing contact,21/05/2025 22:29,648271896
3.01107E+11,Stéphanie,LEONARD,crepeduchesse@gmail.com,783557083,Youssef Ak-kad,22/05/2025 16:55,,Marketing contact,21/05/2025 22:25,783557083
3.0418E+11,Hassan,Sakhi,hassankhad@live.fr,777317912,Youssef Ak-kad,22/05/2025 10:43,,Marketing contact,21/05/2025 22:20,777317912
3.0416E+11,Daisy,Noiraut,daisy.enza@hotmail.com,699932279,,,,Marketing contact,21/05/2025 19:19,699932279
3.04061E+11,Aymane,,,33553816418,Aymane Benani,21/05/2025 17:32,,Non-marketing contact,21/05/2025 17:32,
3.04034E+11,FABIEN,,,33633119526,Aymane Benani,21/05/2025 16:38,,Non-marketing contact,21/05/2025 16:39,
3.02913E+11,Côme,Porcher,cafeteria.grandparissud@icam.fr,,,,,Marketing contact,20/05/2025 22:07,
2.83726E+11,,,les4vents77@outlook.fr,,,,,Marketing contact,20/05/2025 21:45,
3.02286E+11,Yar Mohammad,Noor mohammad,itxarman06@gmail.com,,,,,Marketing contact,20/05/2025 18:08,
3.02324E+11,MAT,,,33649925883,Ali KAMAL,20/05/2025 17:57,,Non-marketing contact,20/05/2025 17:56,
3.02328E+11,Chris,Troyes,,33609690055,Ali KAMAL,21/05/2025 16:37,,Non-marketing contact,20/05/2025 17:53,
3.0224E+11,SUFIAN,SAGEER,lalqilacreteil@gmail.com,627266259,,,,Marketing contact,20/05/2025 17:42,
3.02212E+11,Jamaal,SHER,hzillay6@gmail.com,,,,,Non-marketing contact,20/05/2025 16:57,
3.02277E+11,,L'étoile de l'inde,,33614313248,Aymane Benani,20/05/2025 16:20,,Non-marketing contact,20/05/2025 16:36,
3.02208E+11,Mohamed,Belgium,,32493839935,Ali KAMAL,20/05/2025 18:02,,Non-marketing contact,20/05/2025 16:17,
3.02161E+11,zineb,hsaine khalloqi,hsainezineb111@yahoo.fr,782929523,Ali KAMAL,20/05/2025 16:52,,Marketing contact,20/05/2025 15:44,
3.02159E+11,Daoud,,,33652768703,Ali KAMAL,20/05/2025 16:27,,Non-marketing contact,20/05/2025 15:28,
3.01969E+11,ABDEL,FAMILYPIZZA ,,33656790116,Aymane Benani,20/05/2025 15:01,,Non-marketing contact,20/05/2025 14:03,
3.01961E+11,, superette Proxi Montpon,,33687992072,Aymane Benani,21/05/2025 17:30,,Non-marketing contact,20/05/2025 13:14,
2.87099E+11,,,nm.ex.press.food24@gmail.com,,,,,Marketing contact,20/05/2025 12:52,
3.00799E+11,Charles,Sango,titi04112009@hotmail.fr,616295485,,,,Marketing contact,20/05/2025 12:17,616295485
3.02002E+11,,Djerroud Saida,,33665584332,Aymane Benani,20/05/2025 12:03,,Non-marketing contact,20/05/2025 12:14,
3.0177E+11,,maryoul,,33649537410,Aymane Benani,20/05/2025 11:31,,Non-marketing contact,20/05/2025 11:32,
